               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.036801,            0.011757,            0.011241,             0.87984,             0.94602,             0.95818,             0.58918,            0.026666,           0.0058704,           0.0041886,           0.0076438,           0.0076438,           0.0076438
                 121,            0.038222,            0.010143,           0.0095926,              0.8054,             0.92369,             0.89488,             0.54624,            0.027105,           0.0058145,           0.0042603,            0.007624,            0.007624,            0.007624
                 122,            0.041206,            0.010212,           0.0097831,              0.5933,             0.90625,             0.84368,             0.37413,            0.031968,           0.0060424,           0.0042008,           0.0076042,           0.0076042,           0.0076042
                 123,            0.047009,            0.010576,            0.010413,             0.67957,             0.96875,             0.93168,             0.56091,             0.02985,           0.0062316,           0.0041614,           0.0075844,           0.0075844,           0.0075844
                 124,            0.040703,            0.010311,           0.0096284,             0.67957,             0.96875,             0.93168,             0.56091,             0.02985,           0.0062316,           0.0041614,           0.0075646,           0.0075646,           0.0075646
                 125,            0.037452,            0.010978,            0.010801,             0.75584,             0.97727,             0.94457,             0.59966,            0.025324,           0.0063359,           0.0041884,           0.0075448,           0.0075448,           0.0075448
                 126,            0.034825,            0.011135,           0.0089234,             0.68214,                   1,             0.91424,              0.6102,            0.024545,           0.0063163,           0.0042226,            0.007525,            0.007525,            0.007525
                 127,            0.039447,            0.010443,            0.010824,             0.70038,             0.90874,             0.93807,             0.54734,            0.027724,           0.0060697,           0.0041847,           0.0075052,           0.0075052,           0.0075052
                 128,            0.036222,            0.010176,           0.0096728,             0.70038,             0.90874,             0.93807,             0.54734,            0.027724,           0.0060697,           0.0041847,           0.0074854,           0.0074854,           0.0074854
                 129,            0.033449,            0.010192,            0.010512,             0.95874,             0.97727,              0.9801,             0.68896,            0.021576,           0.0057582,           0.0042115,           0.0074656,           0.0074656,           0.0074656
                 130,            0.033023,            0.010511,            0.011248,             0.65725,             0.80877,             0.86139,             0.53533,            0.032129,           0.0059607,           0.0040483,           0.0074458,           0.0074458,           0.0074458
                 131,            0.041098,             0.01047,            0.011854,              0.8462,             0.92281,             0.93492,             0.59816,            0.025129,           0.0056207,           0.0039942,            0.007426,            0.007426,            0.007426
                 132,            0.033456,            0.010748,             0.01054,              0.8462,             0.92281,             0.93492,             0.59816,            0.025129,           0.0056207,           0.0039942,           0.0074062,           0.0074062,           0.0074062
                 133,            0.031564,            0.010219,            0.009052,             0.95649,             0.94602,             0.97737,             0.63656,            0.021374,           0.0055113,           0.0040609,           0.0073864,           0.0073864,           0.0073864
                 134,            0.033538,            0.012215,           0.0082736,             0.74214,                   1,              0.9083,              0.4991,            0.030649,           0.0057913,           0.0040406,           0.0073666,           0.0073666,           0.0073666
                 135,            0.037777,            0.010495,            0.012399,             0.88158,                   1,             0.97872,             0.66068,              0.0243,           0.0055043,           0.0039303,           0.0073468,           0.0073468,           0.0073468
                 136,            0.034532,            0.010621,            0.010314,             0.88158,                   1,             0.97872,             0.66068,              0.0243,           0.0055043,           0.0039303,            0.007327,            0.007327,            0.007327
                 137,            0.034471,            0.010846,            0.012014,             0.98153,             0.97727,              0.9753,             0.69527,            0.018734,           0.0054302,           0.0039422,           0.0073072,           0.0073072,           0.0073072
                 138,            0.034723,            0.011598,           0.0087663,             0.97825,             0.97727,             0.97701,             0.52906,            0.029272,           0.0055954,           0.0039076,           0.0072874,           0.0072874,           0.0072874
                 139,            0.042035,            0.010566,             0.00991,             0.72507,             0.97727,             0.88744,             0.54037,            0.030252,           0.0058096,            0.003866,           0.0072676,           0.0072676,           0.0072676
                 140,            0.038941,            0.011199,           0.0082798,             0.72507,             0.97727,             0.88744,             0.54037,            0.030252,           0.0058096,            0.003866,           0.0072478,           0.0072478,           0.0072478
                 141,            0.033968,            0.011616,            0.012404,             0.92159,             0.97727,             0.97361,              0.6684,            0.023401,           0.0054919,           0.0038779,            0.007228,            0.007228,            0.007228
                 142,            0.032918,            0.009809,           0.0085835,             0.70499,             0.91168,             0.90917,             0.56527,            0.028028,           0.0054275,           0.0038798,           0.0072082,           0.0072082,           0.0072082
                 143,            0.036007,            0.010453,           0.0080887,             0.76131,             0.97727,              0.8947,             0.56965,            0.022325,           0.0053444,           0.0039854,           0.0071884,           0.0071884,           0.0071884
                 144,            0.031603,            0.011187,            0.012448,             0.76131,             0.97727,              0.8947,             0.56965,            0.022325,           0.0053444,           0.0039854,           0.0071686,           0.0071686,           0.0071686
                 145,            0.028987,           0.0093848,             0.00736,             0.97954,             0.97727,               0.986,             0.72788,            0.019359,           0.0053288,           0.0041118,           0.0071488,           0.0071488,           0.0071488
                 146,              0.0323,           0.0088967,            0.010471,             0.95938,             0.96565,             0.99237,             0.68078,            0.026947,           0.0053095,           0.0040316,            0.007129,            0.007129,            0.007129
                 147,            0.037765,            0.010746,           0.0080031,             0.54041,                   1,             0.79393,             0.50726,            0.028621,           0.0053519,           0.0041258,           0.0071092,           0.0071092,           0.0071092
                 148,            0.037474,            0.011804,            0.008866,             0.54041,                   1,             0.79393,             0.50726,            0.028621,           0.0053519,           0.0041258,           0.0070894,           0.0070894,           0.0070894
                 149,            0.034817,             0.01138,            0.011666,              0.5662,             0.91477,             0.78638,             0.58618,            0.026306,           0.0052475,           0.0042407,           0.0070696,           0.0070696,           0.0070696
                 150,            0.031208,            0.010669,            0.010274,             0.97751,             0.97727,             0.97534,             0.55159,            0.025943,           0.0052074,           0.0040934,           0.0070498,           0.0070498,           0.0070498
                 151,            0.034444,            0.010529,           0.0078114,             0.89114,             0.97727,             0.97317,             0.62011,            0.024005,           0.0052896,           0.0042728,             0.00703,             0.00703,             0.00703
                 152,            0.039156,            0.011599,           0.0085684,             0.89114,             0.97727,             0.97317,             0.62011,            0.024005,           0.0052896,           0.0042728,           0.0070102,           0.0070102,           0.0070102
                 153,            0.031725,            0.010063,           0.0081953,             0.93839,             0.97727,             0.97322,             0.61342,            0.021888,           0.0052887,           0.0042879,           0.0069904,           0.0069904,           0.0069904
                 154,            0.033733,            0.011575,           0.0093863,             0.98063,             0.97727,             0.97549,             0.70429,            0.020526,           0.0051625,           0.0041023,           0.0069706,           0.0069706,           0.0069706
                 155,            0.034889,            0.011998,            0.010766,             0.85327,             0.97727,             0.94337,             0.45054,            0.030747,           0.0054276,           0.0041183,           0.0069508,           0.0069508,           0.0069508
